Animal type;Country;Weight kg;Body Length cm;Gender;Animal code;Latitude;Longitude;Animal name;Observation date;Data compiled by
lynx;Slovakia;30;120;male;;48.409308;18.832606;;02.03.2024;John Johnson
red squirrel;Hungry;0.262;20;female;;47.510799;18.945583;;03.03.2024;Anne Anthony
;;;;;;;;;03.03.2024;James Johnson
hedgehog;Czech Republic;0.6;20;male;;50.637375;14.839785;;03.03.2024;John Johnson
lynx;Slovakia;28;131;male;;48.406304;18.842851;;03.03.2024;John Johnson
red squirel;Slovakia;0.281;18;male;;48.187690;17.086471;;03.03.2024;John Johnson
red squirrel;Hungry;0.262;20;female;;47.510799;18.945583;;03.03.2024;Anne Anthony
European bison;Poland;650;285;female;;52.834741;23.826716;;04.03.2024;Anne Anthony
hedgehog;HU;1.1;24;male;;48.503795;20.555932;;04.03.2024;Anne Anthony
hedgehog;Hungary;1.1;26;not determined;;48.503062;20.551698;;04.03.2024;Anne Anthony
hedgehog;Hungary;0.8;18;female;;48.503498;20.539662;;04.03.2024;Anne Anthony
hedgehog;Hungary;1.2;26;male;;48.509298;20.551977;;04.03.2024;Anne Anthony
hedgehog;Poland;0.9;22;male;;52.214679;21.033021;;04.03.2024;Anne Anthony
lynx;Hungary;25;89;male;;48.504169;20.559452;;04.03.2024;Anne Anthony
red squirel;Hungary;0.283;18;female;;48.505251;20.551473;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.307;-19;male;;;;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.296;22;male;;48.502584;20.532518;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.301;18;female;;48.505512;20.538038;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.295;17;male;;48.505780;20.546466;;04.03.2024;Anne Anthony
red squirrel;Hungry;0.32;18;male;;48.502091;20.547521;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.28;19;female;;48.505494;20.536362;;04.03.2024;Anne Anthony
red squirrel;Poland;0.33;24;male;;52.241203;21.050999;;04.03.2024;Anne Anthony
red squirrel;Poland;0.3;22;female;;52.240018;21.052390;Lola;04.03.2024;Anne Anthony
red squirrel;Poland;0.283;17;female;;52.239931;21.056703;;04.03.2024;Anne Anthony
red squirrel;Poland;0.341;21;male;;52.241856;21.053078;;04.03.2024;Anne Anthony
red squirrel;PL;0.35;24;male;;52.240453;21.055847;;04.03.2024;Anne Anthony
red squirrel;Poland;0.291;21;;;52.241662;21.056430;;04.03.2024;Anne Anthony
red squirrel;Poland;0.329;22;female;;52.241638;21.055998;Lola;04.03.2024;Anne Anthony
red squirrell;HU;0.327;18;female;;48.502803;20.548668;;04.03.2024;Anne Anthony
red squirrell;Poland;0.35;24;male;;52.240497;21.055991;;04.03.2024;Anne Anthony
hedgehog;Czech Republic;0.6;17;male;;50.635501;14.838158;;04.03.2024;John Johnson
hedgehog;Czech Republic;0.9;22;female;;50.638142;14.849689;;04.03.2024;John Johnson
red squirrel;Czech Republic;0.289;21;female;;49.937872;14.179825;;04.03.2024;John Johnson
red squirrel;Slovakia;0.297;20;female;;48.185194;17.083142;;04.03.2024;John Johnson
red squirel;Hungary;0.283;18;female;;48.505251;20.551473;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.307;-19;male;;;;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.296;22;male;;48.502584;20.532518;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.301;18;female;;48.505512;20.538038;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.295;17;male;;48.505780;20.546466;;04.03.2024;Anne Anthony
red squirrel;Hungry;0.32;18;male;;48.502091;20.547521;;04.03.2024;Anne Anthony
red squirrel;Hungary;0.28;19;female;;48.505494;20.536362;;04.03.2024;Anne Anthony
red squirrel;Poland;0.33;24;male;;52.241203;21.050999;;04.03.2024;Anne Anthony
red squirrel;Poland;0.3;22;female;;52.240018;21.052390;Lola;04.03.2024;Anne Anthony
red squirrel;Poland;0.283;17;female;;52.239931;21.056703;;04.03.2024;Anne Anthony
red squirrel;Poland;0.341;21;male;;52.241856;21.053078;;04.03.2024;Anne Anthony
red squirrel;PL;0.35;24;male;;52.240453;21.055847;;04.03.2024;Anne Anthony
red squirrel;Poland;0.291;21;;;52.241662;21.056430;;04.03.2024;Anne Anthony
red squirrel;Poland;0.329;22;female;;52.241638;21.055998;Lola;04.03.2024;Anne Anthony
red squirrell;HU;0.327;18;female;;48.502803;20.548668;;04.03.2024;Anne Anthony
red squirrell;Poland;0.35;24;male;;52.240497;21.055991;;04.03.2024;Anne Anthony
lynx;HU;24;79;male;;48.503043;20.561567;;05.03.2024;Anne Anthony
red squirrel;Poland;0.301;23;female;;52.240867;21.054339;;05.03.2024;Anne Anthony
red squirrel;Poland;0.344;20;male;;52.240522;21.057552;;05.03.2024;Anne Anthony
red squirrel;Hungary;0.253;-19;male;;47.507002;18.950091;;05.03.2024;Anne Anthony
red squirrel;Hungary;0.293;18;female;;47.507557;18.942066;;05.03.2024;Anne Anthony
;Austria;0.263;22;male;;;;;05.03.2024;Bob Bobson
hedgehog;Czech;0.9;19;female;;50.107284;14.346127;;05.03.2024;John Johnson
lynx?;Slovakia;23;97;female;;48.413226;18.848128;;05.03.2024;John Johnson
red squirel;Slovakia;0.333;23;male;;48.409023;18.843990;;05.03.2024;John Johnson
red squirrel;Slovakia;0.32;17;male;;48.406733;18.838754;;05.03.2024;John Johnson
red squirrel;Slovakia;0.266;18;female;;48.404590;18.846849;;05.03.2024;John Johnson
red squirrel;Slovakia;0.306;22;male;;48.408318;18.844383;;05.03.2024;John Johnson
red squirrel;Slovakia;0.311;22;male;;48.412458;18.832425;;05.03.2024;John Johnson
red squirrel;Slovakia;0.291;22;female;;48.406551;18.837137;;05.03.2024;John Johnson
red squirrell;Slovakia;0.259;19;male;;48.405516;18.850994;;05.03.2024;John Johnson
red squirrel;Poland;0.301;23;female;;52.240867;21.054339;;05.03.2024;Anne Anthony
red squirrel;Poland;0.344;20;male;;52.240522;21.057552;;05.03.2024;Anne Anthony
red squirrel;Hungary;0.253;-19;male;;47.507002;18.950091;;05.03.2024;Anne Anthony
red squirrel;Hungary;0.293;18;female;;47.507557;18.942066;;05.03.2024;Anne Anthony
European bison;Poland;454;225;female;;52.834423;23.827103;;06.03.2024;Anne Anthony
hedgehog;Poland;1.1;22;female;;52.214521;21.031889;;06.03.2024;Anne Anthony
hedgehog;Poland;0.9;21;male;;52.214934;21.032106;;06.03.2024;Anne Anthony
lynx;Hungry;18;81;female;;48.511532;20.539112;;06.03.2024;Anne Anthony
red squirrel;Poland;0.343;23;male;;52.241638;21.057329;;06.03.2024;Anne Anthony
red squirrel;Poland;0.274;22;female;;52.241235;21.057356;;06.03.2024;Anne Anthony
hedgehog;Czech Republic;0.6;17;female;;50.106942;14.348502;;06.03.2024;John Johnson
hedgehog;Czech Republic;0.4;12;female;;50.107223;14.34732;;06.03.2024;John Johnson
hedgehog;Czech Republic;1.1;26;male;;50.106379;14.347645;;06.03.2024;John Johnson
hedgehog;Czech Republic;0.8;22;male;;50.106579;14.346283;;06.03.2024;John Johnson
red squirrel;Slovakia;0.334;21;male;;48.188008;17.085312;;06.03.2024;John Johnson
red squirrell;Slovakia;0.307;23;female;;48.185298;17.084072;;06.03.2024;John Johnson
red squirrel;Poland;0.343;23;male;;52.241638;21.057329;;06.03.2024;Anne Anthony
red squirrel;Poland;0.274;22;female;;52.241235;21.057356;;06.03.2024;Anne Anthony
European bison;Poland;862;312;male;;52.831879;23.826297;;07.03.2024;Anne Anthony
hedgehog;Hungary;;;female;;48.506206;20.565308;;07.03.2024;Anne Anthony
hedgehog;Hungary;0.5;16;male;;48.505090;20.539448;;07.03.2024;Anne Anthony
hedgehog;Hungary;0.8;23;female;;48.504425;20.548744;;07.03.2024;Anne Anthony
hedgehog;Hungary;0.7;18;female;;48.505617;20.541054;;07.03.2024;Anne Anthony
hedgehog;Hungry;1.2;23;male;;48.503254;20.555951;;07.03.2024;Anne Anthony
hedgehog;Hungry;0.5;15;male;;48.502359;20.563385;;07.03.2024;Anne Anthony
hedgehog;Hungary;0.6;18;female;;48.511048;20.567209;;07.03.2024;Anne Anthony
lynx;Hungary;29;109;male;;48.501574;20.532455;;07.03.2024;Anne Anthony
lynx;Poland;26;85;female;;52.808579;23.843768;;07.03.2024;Anne Anthony
red squirrel;HU;0.296;19;male;;-2.023546;34.896734;;07.03.2024;Anne Anthony
red squirrel;Hungary;0.3;23;male;;48.505406;20.535848;;07.03.2024;Anne Anthony
red squirrel;Hungary;0.286;18;female;;48.503917;20.536503;;07.03.2024;Anne Anthony
red squirrel;Poland;0.318;21;male;;52.240616;21.054902;;07.03.2024;Anne Anthony
European bison;Czech Republic;716;303;male;;50.636161;14.846951;;07.03.2024;John Johnson
European bison™;Czech Republic;541;212;female;;50.642592;14.850140;;07.03.2024;John Johnson
European bisson;Czech Republic;30;100;female;;50.636423;14.847287;;07.03.2024;John Johnson
ledgehod;Czech Republic;0.7;20;female;;50.106607;14.347909;;07.03.2024;John Johnson
ledgehod;Czech Republic;0.7;20;female;;50.106925;14.346629;;07.03.2024;John Johnson
ledgehod;Czech Republic;1.2;26;male;;50.107284;14.347676;;07.03.2024;John Johnson
red squirrel;Czech Republic;0.273;17;female;;49.938634;14.181813;;07.03.2024;John Johnson
red squirrel;HU;0.296;19;male;;-2.023546;34.896734;;07.03.2024;Anne Anthony
red squirrel;Hungary;0.3;23;male;;48.505406;20.535848;;07.03.2024;Anne Anthony
red squirrel;Hungary;0.286;18;female;;48.503917;20.536503;;07.03.2024;Anne Anthony
red squirrel;Poland;0.318;21;male;;52.240616;21.054902;;07.03.2024;Anne Anthony
hedgehog;Hungary;1;24;female;;48.506913;20.540427;;08.03.2024;Anne Anthony
hedgehog;Poland;0.8;19;female;;52.214365;21.031462;;08.03.2024;Anne Anthony
red squirrel;Hungary;0.261;19;female;;47.507023;18.940532;;08.03.2024;Anne Anthony
hedgehog;Czech Republic;0.8;22;male;;50.106811;14.348513;;08.03.2024;John Johnson
hedgehog;Czech Republic;1.1;23;male;;50.107278;14.348461;;08.03.2024;John Johnson
red squirrel;Hungary;0.261;19;female;;47.507023;18.940532;;08.03.2024;Anne Anthony
European bison;Poland;621;277;female;;52.828561;23.816861;;09.03.2024;Anne Anthony
European bison;Poland;385;168;female;;52.833261;23.815203;;09.03.2024;Anne Anthony
hedgehog;Poland;0.6;-19;male;;52.214410;21.032484;;09.03.2024;Anne Anthony
hedgehog;Poland;0.8;22;female;;52.214452;21.034505;;09.03.2024;Anne Anthony
lynx;Hungary;12;61;female;;48.508239;20.567914;;09.03.2024;Anne Anthony
lynx;Hungary;23;73;female;;48.507503;20.551726;;09.03.2024;Anne Anthony
lynx;PL;20;95;female;;52.814984;23.840681;;09.03.2024;Anne Anthony
lynx;Poland;18;63;male;;52.812647;23.863299;;09.03.2024;Anne Anthony
red squirrel;Poland;0.302;22;male;;52.241375;21.050845;;09.03.2024;Anne Anthony
red squirrell;Hungary;0.284;20;female;;47.509380;18.949607;;09.03.2024;Anne Anthony
hedgehog;Czech Republic;0.9;22;female;;50.106583;14.346471;;09.03.2024;John Johnson
hedgehog;Czech Republic;1.1;23;male;;50.106960;14.346126;;09.03.2024;John Johnson
hedgehog;Czech Republic;0.6;19;male;;50.106311;14.346906;;09.03.2024;John Johnson
red squirrel;Czech Republic;0.293;19;male;;49.937416;14.181449;;09.03.2024;John Johnson
red squirrel;Poland;0.302;22;male;;52.241375;21.050845;;09.03.2024;Anne Anthony
red squirrell;Hungary;0.284;20;female;;47.509380;18.949607;;09.03.2024;Anne Anthony
hedgehog;Hungary;0.9;20;female;;48.511080;20.567192;;10.03.2024;Anne Anthony
hedgehog;Hungary;0.9;21;male;;48.505290;20.566169;;10.03.2024;Anne Anthony
hedgehog;Hungary;1.1;26;male;;48.502486;20.562565;;10.03.2024;Anne Anthony
lynx;Hungary;23;77;female;;48.509272;20.551952;;10.03.2024;Anne Anthony
lynx;Hungry;15;71;male;;48.501180;20.557432;;10.03.2024;Anne Anthony
hedgehog;Czech Republic;0.8;17;male;;49.938707;14.182507;;10.03.2024;John Johnson
hedgehog;Czech Republic;0.5;18;female;;49.937531;14.180359;;10.03.2024;John Johnson
hedgehog;Czech Republic;0.7;17;female;;49.937890;14.180882;;10.03.2024;John Johnson
hedgehog;Czech Republic;0.5;15;female;;49.937340;14.18071;;10.03.2024;John Johnson
European bison;Poland;24;100;female;;52.834112;23.825722;;11.03.2024;Anne Anthony
hedgehog;Hungary;0.9;19;female;;48.505634;20.543417;;11.03.2024;Anne Anthony
hedgehog;Poland;0.8;16;female;;52.214968;21.030987;;11.03.2024;Anne Anthony
lynx;Hungary;20;90;female;;48.501938;20.567814;;11.03.2024;Anne Anthony
red squirel;Hungary;0.322;21;male;;48.506217;20.545055;;11.03.2024;Anne Anthony
red squirrel;HU;0.282;21;male;;-2.023546;34.896734;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.311;22;female;;48.505737;20.546731;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.336;22;female;;48.506095;20.543032;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.29;21;male;;48.506429;20.543875;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.293;20;male;;48.505860;20.547649;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.335;19;female;;48.502521;20.558578;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.339;19;female;;48.503752;20.558664;;11.03.2024;Anne Anthony
red squirrel;Poland;0.304;22;;;52.241093;21.055413;;11.03.2024;Anne Anthony
red squirel;Czech Republic;0.271;18;male;;49.937391;14.179566;;11.03.2024;John Johnson
red squirel;Hungary;0.322;21;male;;48.506217;20.545055;;11.03.2024;Anne Anthony
red squirrel;HU;0.282;21;male;;-2.023546;34.896734;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.311;22;female;;48.505737;20.546731;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.336;22;female;;48.506095;20.543032;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.29;21;male;;48.506429;20.543875;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.293;20;male;;48.505860;20.547649;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.335;19;female;;48.502521;20.558578;;11.03.2024;Anne Anthony
red squirrel;Hungary;0.339;19;female;;48.503752;20.558664;;11.03.2024;Anne Anthony
red squirrel;Poland;0.304;22;;;52.241093;21.055413;;11.03.2024;Anne Anthony
European bisson;Poland;315;175;male;;52.829512;23.811681;;12.03.2024;Anne Anthony
red squirrel;Poland;0.316;24;male;;52.240707;21.057051;;12.03.2024;Anne Anthony
red squirrel;Hungry;;;female;;47.508454;18.949343;;12.03.2024;Anne Anthony
hedgehog;Czech Republic;0.6;20;male;;49.938169;14.178703;;12.03.2024;John Johnson
hedgehog;Czech;0.4;17;male;;49.938527;14.179315;;12.03.2024;John Johnson
red squirrel;Czech Republic;0.324;23;female;;49.937724;14.182072;;12.03.2024;John Johnson
red squirrel;Poland;0.316;24;male;;52.240707;21.057051;;12.03.2024;Anne Anthony
red squirrel;Hungry;;;female;;47.508454;18.949343;;12.03.2024;Anne Anthony
hedgehog;Hungary;0.6;14;female;;48.506262;20.547343;;13.03.2024;Anne Anthony
hedgehog;Poland;0.8;24;male;;52.214734;21.031915;;13.03.2024;Anne Anthony
lynx?;Hungary;20;86;male;;48.504717;20.558726;;13.03.2024;Anne Anthony
red squirrel;Poland;0.36;23;female;;52.241510;21.052575;Basia;13.03.2024;Anne Anthony
red squirrel;Hungary;0.26;18;male;;47.505768;18.943674;;13.03.2024;Anne Anthony
red squirrel;Germany;0.335;18;male;;48.161549;11.493041;Bob Bobson;13.03.2024;Bob Bobson
hedgehog;Czech Republic;0.6;15;female;;49.939297;14.181453;;13.03.2024;John Johnson
red squirel;Slovakia;0.288;18;female;;48.185953;17.08393;;13.03.2024;John Johnson
red squirrel;Poland;0.36;23;female;;52.241510;21.052575;Basia;13.03.2024;Anne Anthony
red squirrel;Hungary;0.26;18;male;;47.505768;18.943674;;13.03.2024;Anne Anthony
European bison;Poland;610;258;female;;52.821135;23.809947;;14.03.2024;Anne Anthony
hedgehog;Hungary;0.7;21;female;;48.509199;20.552447;;14.03.2024;Anne Anthony
hedgehog;Poland;1;21;female;;52.213985;21.030841;;14.03.2024;Anne Anthony
hedgehog;PL;0.8;15;female;;52.213877;21.030861;;14.03.2024;Anne Anthony
red squirrel;Poland;0.32;21;female;;52.241309;21.057247;;14.03.2024;Anne Anthony
red squirrell;Hungary;0.287;23;female;;47.508679;18.946127;;14.03.2024;Anne Anthony
hedgehog;Australia;0.8;24;not determined;;47.781689;14.386777;;14.03.2024;Bob Bobson
hedgehog;Austria;0.7;19;female;;47.781139;14.382004;;14.03.2024;Bob Bobson
hedgehog;Austria;0.8;20;male;;47.781828;14.385001;;14.03.2024;Bob Bobson
hedgehog;Austria;0.6;14;female;;47.781060;14.386807;;14.03.2024;Bob Bobson
hedgehog;Austria;0.7;24;male;;47.780872;14.38446;;14.03.2024;Bob Bobson
hedgehog;Austria;0.8;21;female;;47.781117;14.38608;;14.03.2024;Bob Bobson
lynx;Austria;22;80;female;;47.780779;14.384918;;14.03.2024;Bob Bobson
lynx;Austria;23;86;male;;47.781257;14.383099;;14.03.2024;Bob Bobson
hedgehog;Czech Republic;0.9;16;female;;49.938490;14.1802;;14.03.2024;John Johnson
red squirrel;Poland;0.32;21;female;;52.241309;21.057247;;14.03.2024;Anne Anthony
red squirrell;Hungary;0.287;23;female;;47.508679;18.946127;;14.03.2024;Anne Anthony
hedgehog;Poland;0.9;22;male;;52.214498;21.034201;;15.03.2024;Anne Anthony
lynx;Poland;16;70;male;;52.803129;23.844358;;15.03.2024;Anne Anthony
hedgehog;Czech Republic;0.7;21;female;;49.938132;14.181225;;15.03.2024;John Johnson
red squirel;Slovakia;0.294;23;male;;48.184374;17.086;;15.03.2024;John Johnson
red squirrel;Czech Republic;0.267;18;female;;49.938860;14.182738;;15.03.2024;John Johnson
red squirrel;Czech Republic;0.328;19;male;;49.938357;14.177929;;15.03.2024;John Johnson
European bison;Poland;35;125;female;;52.820739;23.815145;;16.03.2024;Anne Anthony
hedgehog;Hungary;0.6;23;male;;48.501763;20.547976;;16.03.2024;Anne Anthony
lynx;Poland;16;72;male;;52.814211;23.834358;;16.03.2024;Anne Anthony
lynx;Poland;18;81;female;;52.802757;23.835199;;16.03.2024;Anne Anthony
red squirrel;Poland;0.346;19;male;;52.240529;21.053603;;16.03.2024;Anne Anthony
red squirrel;Hungary;0.27;22;female;;47.509866;18.942538;;16.03.2024;Anne Anthony
red squirrel;Slovakia;0.326;19;female;;48.185585;17.091365;;16.03.2024;John Johnson
red squirrel;Poland;0.346;19;male;;52.240529;21.053603;;16.03.2024;Anne Anthony
red squirrel;Hungary;0.27;22;female;;47.509866;18.942538;;16.03.2024;Anne Anthony
